[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, ¬v4], [y, ¬v5], [z, ¬v6], [z, ¬v7]]                                                                       
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, ¬v4], [y, ¬v5], [z, ¬v6], [z, v7]]                                                                        
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, ¬v4], [y, ¬v5], [z, v6], [z, ¬v7]]                                                                        
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, ¬v4], [y, ¬v5], [z, v6], [z, v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, ¬v4], [y, v5], [z, ¬v6], [z, ¬v7]]                                                                        
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, ¬v4], [y, v5], [z, ¬v6], [z, v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, ¬v4], [y, v5], [z, v6], [z, ¬v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, ¬v4], [y, v5], [z, v6], [z, v7]]                                                                          
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, v4], [y, ¬v5], [z, ¬v6], [z, ¬v7]]                                                                        
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, v4], [y, ¬v5], [z, ¬v6], [z, v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, v4], [y, ¬v5], [z, v6], [z, ¬v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, v4], [y, ¬v5], [z, v6], [z, v7]]                                                                          
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, v4], [y, v5], [z, ¬v6], [z, ¬v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, v4], [y, v5], [z, ¬v6], [z, v7]]                                                                          
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, v4], [y, v5], [z, v6], [z, ¬v7]]                                                                          
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, ¬v3], [y, v4], [y, v5], [z, v6], [z, v7]]                                                                           
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, v3], [y, ¬v4], [y, ¬v5], [z, ¬v6], [z, ¬v7]]                                                                        
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, v3], [y, ¬v4], [y, ¬v5], [z, ¬v6], [z, v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, v3], [y, ¬v4], [y, ¬v5], [z, v6], [z, ¬v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, v3], [y, ¬v4], [y, ¬v5], [z, v6], [z, v7]]                                                                          
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, v3], [y, ¬v4], [y, v5], [z, ¬v6], [z, ¬v7]]                                                                         
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, v3], [y, ¬v4], [y, v5], [z, ¬v6], [z, v7]]                                                                          
[[¬x, ¬y, ¬z], [x, ¬v1, ¬v2], [x, v3], [y, ¬v4], [y, v5], [z, v6], [z, ¬v7]]                                                                          
